 site       X              Y              Z             EMT           DFT
  2   0.4950925980   0.0000000000   5.0000000000  -0.0058694553  -0.0018647000
  2   0.4950925980   0.0000000000   5.2000000000  -0.0008872022  -0.0013665800
  2   0.4950925980   0.0000000000   5.4000000000  -0.0000167222  -0.0009223800
  2   0.4950925980   0.0000000000   5.6000000000  -0.0000002630  -0.0005335400
  2   0.4950925980   0.0000000000   5.8000000000  -0.0000000039  -0.0002101300
  2   0.4950925980   0.0000000000   6.0000000000  -0.0000000001   0.0000423800
  3   0.9901851960   0.0000000000  -5.0000000000  17.8524801873   8.4485172000
  3   0.9901851960   0.0000000000  -4.8000000000  18.7601126328   9.2096237600
  3   0.9901851960   0.0000000000  -4.6000000000  16.1212567286   7.8018882300
  3   0.9901851960   0.0000000000  -4.4000000000  11.4173176749   5.0949056300
  3   0.9901851960   0.0000000000  -4.2000000000   6.7271011491   2.4226629400
  3   0.9901851960   0.0000000000  -4.0000000000   3.3152544278   0.5624511100
  3   0.9901851960   0.0000000000  -3.8000000000   1.4765058687  -0.3896112800
  3   0.9901851960   0.0000000000  -3.6000000000   1.0631657235  -0.6031798200
