 site       X              Y              Z             EMT           DFT
  5   0.7426388970   0.4287627670  -3.8000000000  -1.1347058084  -0.9638158400
  5   0.7426388970   0.4287627670  -3.6000000000  -0.7889691974  -0.5574703000
  5   0.7426388970   0.4287627670  -3.4000000000   0.2264261317   0.5861212900
  5   0.7426388970   0.4287627670  -3.2000000000   2.5876464091   3.0642952300
  5   0.7426388970   0.4287627670  -3.0000000000   7.3524426956   7.3982095500
  5   0.7426388970   0.4287627670  -1.8000000000   6.0006061879   5.4713330400
  5   0.7426388970   0.4287627670  -1.6000000000   2.0500412886   1.9312037800
  5   0.7426388970   0.4287627670  -1.4000000000   0.2709915411   0.1666763800
  5   0.7426388970   0.4287627670  -1.2000000000  -0.2288168002  -0.2948857300
  5   0.7426388970   0.4287627670  -1.0000000000   0.2335702482   0.3542774800
  5   0.7426388970   0.4287627670  -0.8000000000   1.9611487061   2.3870729200
  5   0.7426388970   0.4287627670  -0.6000000000   5.8255574284   6.2684102600
  5   0.7426388970   0.4287627670   0.6000000000   5.3712658619   5.7664389600
  5   0.7426388970   0.4287627670   0.8000000000   1.3080590571   1.6845959200
  5   0.7426388970   0.4287627670   1.0000000000  -0.6531497839  -0.5617080100
  5   0.7426388970   0.4287627670   1.2000000000  -1.4561172072  -1.5175202600
  5   0.7426388970   0.4287627670   1.4000000000  -1.6698798786  -1.7357268600
  5   0.7426388970   0.4287627670   1.6000000000  -1.5975878412  -1.5836824700
  5   0.7426388970   0.4287627670   1.8000000000  -1.4000470408  -1.2698266000
  5   0.7426388970   0.4287627670   2.0000000000  -1.1638805845  -0.9084922900
  5   0.7426388970   0.4287627670   2.2000000000  -0.9323547340  -0.5587177200
  5   0.7426388970   0.4287627670   2.4000000000  -0.7269934772  -0.2925655300
  5   0.7426388970   0.4287627670   2.6000000000  -0.5549276909  -0.1432468400
  5   0.7426388970   0.4287627670   2.8000000000  -0.4157201586  -0.0679205900
  5   0.7426388970   0.4287627670   3.0000000000  -0.3070258074  -0.0329416600
  5   0.7426388970   0.4287627670   3.2000000000  -0.2241628406  -0.0170580400
  5   0.7426388970   0.4287627670   3.4000000000  -0.1617187615  -0.0098911300
  5   0.7426388970   0.4287627670   3.6000000000  -0.1141749900  -0.0066961900
  5   0.7426388970   0.4287627670   3.8000000000  -0.0804731620  -0.0052512300
  5   0.7426388970   0.4287627670   4.0000000000  -0.0561831091  -0.0045128700
  5   0.7426388970   0.4287627670   4.2000000000  -0.0367960320  -0.0039808100
  5   0.7426388970   0.4287627670   4.4000000000  -0.0250224262  -0.0034754800
  5   0.7426388970   0.4287627670   4.6000000000  -0.0151187567  -0.0029501600
  5   0.7426388970   0.4287627670   4.8000000000  -0.0080093833  -0.0024093400
  5   0.7426388970   0.4287627670   5.0000000000  -0.0047277536  -0.0018746200
  5   0.7426388970   0.4287627670   5.2000000000  -0.0002876097  -0.0013798900
  5   0.7426388970   0.4287627670   5.4000000000  -0.0000035816  -0.0009412200
  5   0.7426388970   0.4287627670   5.6000000000  -0.0000000395  -0.0005603900
  5   0.7426388970   0.4287627670   5.8000000000  -0.0000000009  -0.0002399000
  5   0.7426388970   0.4287627670   6.0000000000  -0.0000000005   0.0000111500
  6   1.2377314950   0.4287627670  -5.0000000000   0.2339171310   0.2675543800
  6   1.2377314950   0.4287627670  -4.8000000000   0.3393396187   0.3859269800
  6   1.2377314950   0.4287627670  -4.6000000000   0.1227955067   0.1949902700
  6   1.2377314950   0.4287627670  -4.4000000000  -0.2779941057  -0.1946857400
  6   1.2377314950   0.4287627670  -4.2000000000  -0.6504997168  -0.5793263600
  6   1.2377314950   0.4287627670  -4.0000000000  -0.8079813264  -0.7542144900
  6   1.2377314950   0.4287627670  -3.8000000000  -0.5363993152  -0.4496667800
  6   1.2377314950   0.4287627670  -3.6000000000   0.7099818835   0.9781790900
  6   1.2377314950   0.4287627670  -3.4000000000   4.6757986556   5.0959210200
  6   1.2377314950   0.4287627670  -1.4000000000   3.2033321166   2.9572511200
  6   1.2377314950   0.4287627670  -1.2000000000   0.2233789394   0.1450625200
  6   1.2377314950   0.4287627670  -1.0000000000  -0.7004570679  -0.7639143100
  6   1.2377314950   0.4287627670  -0.8000000000  -0.8650810435  -0.8987999400
  6   1.2377314950   0.4287627670  -0.6000000000  -0.6852047266  -0.6940922300
  6   1.2377314950   0.4287627670  -0.4000000000  -0.3466127922  -0.3450376500
  6   1.2377314950   0.4287627670  -0.2000000000  -0.0313910663  -0.0398038400
  6   1.2377314950   0.4287627670   0.0000000000   0.0706054650   0.0272149700
  6   1.2377314950   0.4287627670   0.2000000000  -0.1316685887  -0.2320121200
  6   1.2377314950   0.4287627670   0.4000000000  -0.5622259323  -0.7273727800
  6   1.2377314950   0.4287627670   0.6000000000  -1.0464077993  -1.2596512200
  6   1.2377314950   0.4287627670   0.8000000000  -1.4334912353  -1.6545010300
  6   1.2377314950   0.4287627670   1.0000000000  -1.6540926761  -1.8348650900
  6   1.2377314950   0.4287627670   1.2000000000  -1.7082239826  -1.8090426800
  6   1.2377314950   0.4287627670   1.4000000000  -1.6317895660  -1.6284617200
  6   1.2377314950   0.4287627670   1.6000000000  -1.4706920365  -1.3536471100
  6   1.2377314950   0.4287627670   1.8000000000  -1.2674717626  -1.0375694900
  6   1.2377314950   0.4287627670   2.0000000000  -1.0530184043  -0.7177796900
  6   1.2377314950   0.4287627670   2.2000000000  -0.8494830583  -0.4191638000
  6   1.2377314950   0.4287627670   2.4000000000  -0.6690205249  -0.2195615400
  6   1.2377314950   0.4287627670   2.6000000000  -0.5157744683  -0.1081583200
  6   1.2377314950   0.4287627670   2.8000000000  -0.3897202196  -0.0521858900
  6   1.2377314950   0.4287627670   3.0000000000  -0.2900743032  -0.0259840800
  6   1.2377314950   0.4287627670   3.2000000000  -0.2127110497  -0.0140137200
  6   1.2377314950   0.4287627670   3.4000000000  -0.1537880112  -0.0086256800
  6   1.2377314950   0.4287627670   3.6000000000  -0.1101268908  -0.0062384000
  6   1.2377314950   0.4287627670   3.8000000000  -0.0777262977  -0.0051342800
  6   1.2377314950   0.4287627670   4.0000000000  -0.0542307458  -0.0044970100
  6   1.2377314950   0.4287627670   4.2000000000  -0.0368443998  -0.0040028200
  6   1.2377314950   0.4287627670   4.4000000000  -0.0250985184  -0.0035035900
  6   1.2377314950   0.4287627670   4.6000000000  -0.0167928605  -0.0029741300
  6   1.2377314950   0.4287627670   4.8000000000  -0.0087002967  -0.0024213100
  6   1.2377314950   0.4287627670   5.0000000000  -0.0019957381  -0.0018770500
  6   1.2377314950   0.4287627670   5.2000000000  -0.0000389026  -0.0013780900
  6   1.2377314950   0.4287627670   5.4000000000  -0.0000004849  -0.0009422700
  6   1.2377314950   0.4287627670   5.6000000000  -0.0000000060  -0.0005642400
  6   1.2377314950   0.4287627670   5.8000000000  -0.0000000006  -0.0002452100
  6   1.2377314950   0.4287627670   6.0000000000  -0.0000000005   0.0000053000
  7   1.4852777940   0.8575255340  -5.0000000000  -1.0640856541  -1.0557223300
  7   1.4852777940   0.8575255340  -4.8000000000  -1.0129356537  -1.0280117500
  7   1.4852777940   0.8575255340  -4.6000000000  -1.0494775110  -1.0492853100
  7   1.4852777940   0.8575255340  -4.4000000000  -1.1266656832  -1.0976087900
  7   1.4852777940   0.8575255340  -4.2000000000  -1.1554488221  -1.1050954600
  7   1.4852777940   0.8575255340  -4.0000000000  -0.9855527453  -0.9136875100
  7   1.4852777940   0.8575255340  -3.8000000000  -0.2453911872  -0.0709761100
  7   1.4852777940   0.8575255340  -3.6000000000   2.2932090598   2.7413729800
  7   1.4852777940   0.8575255340  -1.4000000000   7.8599830616   6.7220408000
  7   1.4852777940   0.8575255340  -1.2000000000   1.3239589394   1.2123059900
  7   1.4852777940   0.8575255340  -1.0000000000  -0.5397025989  -0.5987595800
  7   1.4852777940   0.8575255340  -0.8000000000  -1.0815163722  -1.1342720700
  7   1.4852777940   0.8575255340  -0.6000000000  -1.1935159668  -1.2724581500
  7   1.4852777940   0.8575255340  -0.4000000000  -1.1589040338  -1.3032891100
  7   1.4852777940   0.8575255340  -0.2000000000  -1.1029623119  -1.3319933000
  7   1.4852777940   0.8575255340   0.0000000000  -1.1015480963  -1.4090055500
  7   1.4852777940   0.8575255340   0.2000000000  -1.1885948401  -1.5474835100
  7   1.4852777940   0.8575255340   0.4000000000  -1.3477367919  -1.7198277700
  7   1.4852777940   0.8575255340   0.6000000000  -1.5263652619  -1.8706495500
  7   1.4852777940   0.8575255340   0.8000000000  -1.6659683094  -1.9447705200
  7   1.4852777940   0.8575255340   1.0000000000  -1.7266221710  -1.9108710400
  7   1.4852777940   0.8575255340   1.2000000000  -1.6961359046  -1.7683846000
  7   1.4852777940   0.8575255340   1.4000000000  -1.5854602375  -1.5400867900
  7   1.4852777940   0.8575255340   1.6000000000  -1.4181963218  -1.2587201100
  7   1.4852777940   0.8575255340   1.8000000000  -1.2194535292  -0.9553664400
  7   1.4852777940   0.8575255340   2.0000000000  -1.0154580501  -0.6539596800
  7   1.4852777940   0.8575255340   2.2000000000  -0.8225267880  -0.3763312800
  7   1.4852777940   0.8575255340   2.4000000000  -0.6489825070  -0.1971953500
