 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
   27.90   -19.7604   -25.4762   -25.3848     5.7158  -.001   23
   28.00   -19.7604   -25.4495   -25.3579     5.6891   .003   24
   28.10   -19.7604   -25.4233   -25.3314     5.6629  -.037   25
   28.20   -19.7602   -25.3974   -25.3053     5.6372   .090   24
   28.30   -19.7601   -25.3726   -25.2809     5.6125   .221   23
   28.40   -19.7600   -25.3494   -25.2585     5.5893   .307   22
   28.50   -19.7600   -25.3275   -25.2376     5.5675   .368   21
   28.60   -19.7600   -25.3069   -25.2178     5.5469   .415   21
   28.70   -19.7600   -25.2875   -25.1992     5.5275   .453   21
   28.80   -19.7599   -25.2691   -25.1817     5.5091   .487   20
   28.90   -19.7599   -25.2517   -25.1650     5.4918   .516   20
   29.00   -19.7599   -25.2352   -25.1492     5.4753   .542   19
   29.10   -19.7598   -25.2197   -25.1343     5.4598   .566   19
   29.20   -19.7598   -25.2049   -25.1201     5.4451   .587   19
   29.30   -19.7598   -25.1910   -25.1066     5.4312   .606   19
   29.40   -19.7598   -25.1778   -25.0939     5.4181   .624   19
   29.50   -19.7597   -25.1654   -25.0818     5.4056   .641   19
   29.60   -19.7598   -25.1536   -25.0702     5.3938   .651    6
   29.70   -19.7599   -25.1425   -25.0594     5.3825   .667    5
   29.80   -19.7600   -25.1320   -25.0494     5.3720   .686    4
   29.90   -19.7598   -25.1221   -25.0397     5.3622   .698    5
   30.00   -19.7598   -25.1127   -25.0305     5.3529   .708    5
   30.10   -19.7598   -25.1039   -25.0217     5.3441   .715    4
   30.20   -19.7599   -25.0955   -25.0135     5.3357   .725    3
   30.30   -19.7601   -25.0879   -25.0061     5.3278   .739    4
   30.40   -19.7601   -25.0805   -24.9990     5.3204   .755    4
   30.50   -19.7601   -25.0737   -24.9922     5.3136   .763    6
   30.60   -19.7601   -25.0672   -24.9858     5.3071   .770    6
   30.70   -19.7601   -25.0611   -24.9798     5.3010   .779    6
   30.80   -19.7601   -25.0554   -24.9742     5.2953   .789    3
   30.90   -19.7600   -25.0501   -24.9690     5.2901   .799    4
   31.00   -19.7599   -25.0451   -24.9640     5.2852   .806    4
   31.10   -19.7599   -25.0404   -24.9594     5.2805   .811    4
   31.20   -19.7599   -25.0361   -24.9550     5.2762   .816    4
   31.30   -19.7599   -25.0320   -24.9509     5.2721   .821    4
   31.40   -19.7599   -25.0282   -24.9472     5.2683   .829    4
   31.50   -19.7600   -25.0247   -24.9438     5.2647   .839    3
   31.60   -19.7598   -25.0213   -24.9404     5.2614   .847    4
   31.70   -19.7598   -25.0182   -24.9373     5.2584   .853    4
   31.80   -19.7597   -25.0154   -24.9345     5.2556   .855    3
   31.90   -19.7597   -25.0128   -24.9319     5.2530   .858    6
   32.00   -19.7598   -25.0103   -24.9294     5.2506   .863    6
   32.10   -19.7598   -25.0080   -24.9272     5.2482   .869    6
   32.20   -19.7597   -25.0058   -24.9250     5.2462   .875    3
   32.30   -19.7596   -25.0038   -24.9230     5.2442   .879    4
   32.40   -19.7596   -25.0020   -24.9212     5.2424   .881    4
   32.50   -19.7596   -25.0003   -24.9194     5.2407   .883    4
   32.60   -19.7595   -24.9987   -24.9178     5.2391   .887    4
   32.70   -19.7596   -24.9972   -24.9164     5.2377   .893    4
   32.80   -19.7595   -24.9958   -24.9150     5.2363   .898    4
   32.90   -19.7595   -24.9946   -24.9138     5.2351   .901    5
   33.00   -19.7595   -24.9935   -24.9126     5.2340   .902    4
   33.10   -19.7593   -24.9922   -24.9114     5.2329   .902    4
   33.20   -19.7594   -24.9914   -24.9106     5.2320   .908    7
   33.30   -19.7594   -24.9905   -24.9097     5.2310   .912    8
   33.40   -19.7594   -24.9896   -24.9088     5.2302   .914    6
   33.50   -19.7594   -24.9888   -24.9080     5.2294   .916    4
   33.60   -19.7593   -24.9880   -24.9072     5.2287   .919    4
   33.70   -19.7594   -24.9874   -24.9066     5.2280   .922    4
   33.80   -19.7594   -24.9867   -24.9059     5.2274   .926    4
   33.90   -19.7593   -24.9861   -24.9053     5.2268   .928    4
   34.00   -19.7593   -24.9856   -24.9048     5.2263   .929    4
   34.10   -19.7592   -24.9851   -24.9043     5.2259   .931    5
   34.20   -19.7592   -24.9847   -24.9039     5.2254   .933    4
   34.30   -19.7593   -24.9842   -24.9034     5.2250   .936    4
   34.40   -19.7591   -24.9837   -24.9029     5.2246   .938    4
   34.50   -19.7590   -24.9833   -24.9025     5.2242   .941    4
   34.60   -19.7591   -24.9831   -24.9023     5.2240   .942    4
   34.70   -19.7590   -24.9828   -24.9020     5.2238   .943    4
   34.80   -19.7589   -24.9825   -24.9016     5.2235   .943    4
   34.90   -19.7590   -24.9822   -24.9014     5.2233   .946    5
   35.00   -19.7590   -24.9820   -24.9012     5.2230   .948    5
   35.10   -19.7589   -24.9817   -24.9009     5.2228   .951    4
   35.20   -19.7589   -24.9815   -24.9007     5.2226   .951    7
   35.30   -19.7589   -24.9813   -24.9005     5.2224   .952    5
   35.40   -19.7589   -24.9811   -24.9003     5.2222   .953    5
   35.50   -19.7589   -24.9810   -24.9002     5.2221   .955    4
   35.60   -19.7589   -24.9808   -24.9000     5.2220   .958    3
   35.70   -19.7589   -24.9807   -24.8999     5.2218   .958    8
   35.80   -19.7588   -24.9805   -24.8997     5.2217   .957    3
