   i site, x     y     z      jk_EMT      DFT         Diff
 256  6  1.24  0.43 -0.80  -0.8987999  -1.0737942   0.1749942
 257  6  1.24  0.43 -0.60  -0.6940922  -0.8817512   0.1876589
 258  6  1.24  0.43 -0.40  -0.3450376  -0.4984776   0.1534400
 259  6  1.24  0.43 -0.20  -0.0398038  -0.1373832   0.0975793
 260  6  1.24  0.43  0.00   0.0272150  -0.0207224   0.0479374
 261  6  1.24  0.43  0.20  -0.2320121  -0.2467216   0.0147095
 262  6  1.24  0.43  0.40  -0.7273728  -0.7184249  -0.0089479
 263  6  1.24  0.43  0.60  -1.2596512  -1.2305658  -0.0290854
 264  6  1.24  0.43  0.80  -1.6545010  -1.5955198  -0.0589812
 265  6  1.24  0.43  1.00  -1.8348651  -1.7331630  -0.1017021
 266  6  1.24  0.43  1.20  -1.8090427  -1.6638078  -0.1452349
 267  6  1.24  0.43  1.40  -1.6284617  -1.4604598  -0.1680020
 268  6  1.24  0.43  1.60  -1.3536471  -1.1990533  -0.1545939
 269  6  1.24  0.43  1.80  -1.0375695  -0.9239344  -0.1136351
 270  6  1.24  0.43  2.00  -0.7177797  -0.6819307  -0.0358490
 271  6  1.24  0.43  2.20  -0.4191638  -0.4768224   0.0576586
 272  6  1.24  0.43  2.40  -0.2195615  -0.3100456   0.0904840
 273  6  1.24  0.43  2.60  -0.1081583  -0.1880564   0.0798980
 274  6  1.24  0.43  2.80  -0.0521859  -0.1089577   0.0567718
 275  6  1.24  0.43  3.00  -0.0259841  -0.0528055   0.0268214
 276  6  1.24  0.43  3.20  -0.0140137  -0.0176947   0.0036810
 277  6  1.24  0.43  3.40  -0.0086257   0.0022931  -0.0109188
 278  6  1.24  0.43  3.60  -0.0062384   0.0143372  -0.0205756
 279  6  1.24  0.43  3.80  -0.0051343   0.0190092  -0.0241435
 280  6  1.24  0.43  4.00  -0.0044970   0.0196527  -0.0241497
 281  6  1.24  0.43  4.20  -0.0040028   0.0168671  -0.0208699
 282  6  1.24  0.43  4.40  -0.0035036   0.0148799  -0.0183835
 283  6  1.24  0.43  4.60  -0.0029741   0.0128061  -0.0157802
 284  6  1.24  0.43  4.80  -0.0024213   0.0059434  -0.0083648
 285  6  1.24  0.43  5.00  -0.0018770   0.0003105  -0.0021875
 286  6  1.24  0.43  5.20  -0.0013781  -0.0000838  -0.0012942
 287  6  1.24  0.43  5.40  -0.0009423  -0.0000041  -0.0009382
 288  6  1.24  0.43  5.60  -0.0005642  -0.0000002  -0.0005641
 289  6  1.24  0.43  5.80  -0.0002452  -0.0000000  -0.0002452
 290  6  1.24  0.43  6.00   0.0000053  -0.0000000   0.0000053
 291  7  1.49  0.86 -5.00  -1.0557223  -0.9163347  -0.1393876
 292  7  1.49  0.86 -4.80  -1.0280117  -0.9082381  -0.1197737
 293  7  1.49  0.86 -4.60  -1.0492853  -0.9639474  -0.0853379
 294  7  1.49  0.86 -4.40  -1.0976088  -1.0422915  -0.0553173
 295  7  1.49  0.86 -4.20  -1.1050955  -1.0686362  -0.0364593
 296  7  1.49  0.86 -4.00  -0.9136875  -0.9122089  -0.0014786
 297  7  1.49  0.86 -3.80  -0.0709761  -0.1227427   0.0517666
 298  7  1.49  0.86 -3.60   2.7413730   2.5676068   0.1737661
 299  7  1.49  0.86 -1.40   6.7220408   7.2588679  -0.5368271
 300  7  1.49  0.86 -1.20   1.2123060   1.2927938  -0.0804878
 301  7  1.49  0.86 -1.00  -0.5987596  -0.7684568   0.1696972
 302  7  1.49  0.86 -0.80  -1.1342721  -1.3647168   0.2304447
 303  7  1.49  0.86 -0.60  -1.2724582  -1.4959128   0.2234546
 304  7  1.49  0.86 -0.40  -1.3032891  -1.4918583   0.1885692
 305  7  1.49  0.86 -0.20  -1.3319933  -1.4614767   0.1294834
 306  7  1.49  0.86  0.00  -1.4090056  -1.4792615   0.0702559
 307  7  1.49  0.86  0.20  -1.5474835  -1.5572954   0.0098118
 308  7  1.49  0.86  0.40  -1.7198278  -1.6662910  -0.0535367
 309  7  1.49  0.86  0.60  -1.8706495  -1.7576749  -0.1129747
 310  7  1.49  0.86  0.80  -1.9447705  -1.7753656  -0.1694049
 311  7  1.49  0.86  1.00  -1.9108710  -1.6930616  -0.2178095
 312  7  1.49  0.86  1.20  -1.7683846  -1.5193208  -0.2490638
 313  7  1.49  0.86  1.40  -1.5400868  -1.2852858  -0.2548010
 314  7  1.49  0.86  1.60  -1.2587201  -1.0293902  -0.2293299
 315  7  1.49  0.86  1.80  -0.9553664  -0.8040723  -0.1512941
 316  7  1.49  0.86  2.00  -0.6539597  -0.5911195  -0.0628402
 317  7  1.49  0.86  2.20  -0.3763313  -0.4056643   0.0293330
 318  7  1.49  0.86  2.40  -0.1971953  -0.2718386   0.0746432
 319  7  1.49  0.86  2.60  -0.0974033  -0.1770619   0.0796587
 320  7  1.49  0.86  2.80  -0.0472863  -0.1045323   0.0572459
 321  7  1.49  0.86  3.00  -0.0237776  -0.0488477   0.0250700
 322  7  1.49  0.86  3.20  -0.0130472  -0.0120029  -0.0010442
 323  7  1.49  0.86  3.40  -0.0082333   0.0104417  -0.0186750
 324  7  1.49  0.86  3.60  -0.0061043   0.0225441  -0.0286484
 325  7  1.49  0.86  3.80  -0.0051001   0.0220783  -0.0271785
 326  7  1.49  0.86  4.00  -0.0044899   0.0150484  -0.0195383
 327  7  1.49  0.86  4.20  -0.0039934   0.0159219  -0.0199153
 328  7  1.49  0.86  4.40  -0.0035172   0.0156328  -0.0191500
 329  7  1.49  0.86  4.60  -0.0029876   0.0143186  -0.0173062
 330  7  1.49  0.86  4.80  -0.0024248   0.0090134  -0.0114382
 331  7  1.49  0.86  5.00  -0.0018701  -0.0002164  -0.0016537
 332  7  1.49  0.86  5.20  -0.0013670  -0.0000270  -0.0013400
 333  7  1.49  0.86  5.40  -0.0009295  -0.0000012  -0.0009282
 334  7  1.49  0.86  5.60  -0.0005500  -0.0000000  -0.0005499
 335  7  1.49  0.86  5.80  -0.0002292  -0.0000000  -0.0002292
 336  7  1.49  0.86  6.00   0.0000187  -0.0000000   0.0000188
 337  8  0.74 -0.43 -4.20   5.6394777   5.3411457   0.2983321
 338  8  0.74 -0.43 -4.00   1.9916167   1.8364732   0.1551435
 339  8  0.74 -0.43 -3.80   0.0625622  -0.0256753   0.0882375
 340  8  0.74 -0.43 -3.60  -0.7612694  -0.7873654   0.0260960
 341  8  0.74 -0.43 -3.40  -1.0100159  -0.9823195  -0.0276963
 342  8  0.74 -0.43 -3.20  -0.9726480  -0.9332933  -0.0393548
 343  8  0.74 -0.43 -3.00  -0.7764629  -0.7231128  -0.0533501
 344  8  0.74 -0.43 -2.80  -0.5140947  -0.4129103  -0.1011844
 345  8  0.74 -0.43 -2.60  -0.3021623  -0.1575726  -0.1445897
 346  8  0.74 -0.43 -2.40  -0.2497416  -0.0855941  -0.1641474
 347  8  0.74 -0.43 -2.20  -0.3879501  -0.2576680  -0.1302821
 348  8  0.74 -0.43 -2.00  -0.6460317  -0.5905355  -0.0554962
 349  8  0.74 -0.43 -1.80  -0.9045977  -0.9268846   0.0222868
 350  8  0.74 -0.43 -1.60  -1.0651501  -1.1476576   0.0825075
 351  8  0.74 -0.43 -1.40  -1.0560814  -1.1921045   0.1360231
 352  8  0.74 -0.43 -1.20  -0.7475216  -0.9382996   0.1907780
 353  8  0.74 -0.43 -1.00   0.1823347  -0.0014197   0.1837544
 354  8  0.74 -0.43 -0.80   2.3025245   2.1942264   0.1082981
 355  8  0.74 -0.43 -0.60   6.2085012   6.1203737   0.0881275
 356  8  0.74 -0.43  0.60   5.7459735   5.7962999  -0.0503264
 357  8  0.74 -0.43  0.80   1.6701628   1.7514750  -0.0813122
 358  8  0.74 -0.43  1.00  -0.5703121  -0.5564670  -0.0138451
 359  8  0.74 -0.43  1.20  -1.5213850  -1.5314699   0.0100849
 360  8  0.74 -0.43  1.40  -1.7362715  -1.7243387  -0.0119328
 361  8  0.74 -0.43  1.60  -1.5822073  -1.5420989  -0.0401084
