  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1203
  ntimesa = 1203
  detb = 30.6261662733299254
 Z layer 1 =  20.3695

 Z layer 2 =  17.8504

 Z layer 3 =  15.4760

 Z layer 4 =  13.0000

 Z12 =   2.5191

 Z23 =   2.3744

 Z34 =   2.4760

 temp, average ekin =   249.910535      .387655
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
  113   127.7459    .198156   5.12234   2.64876   6.33678   4.22380  20.31880   2.44853
  114   127.8438    .198308   5.13649   2.61847   6.34368   4.22787  20.31882   2.44851
  115   127.9091    .198409   5.15223   2.58813   6.35057   4.23196  20.31884   2.44849
  116   127.9617    .198491   5.16967   2.55773   6.35746   4.23605  20.31886   2.44848
  117   128.0406    .198613   5.18895   2.52728   6.36435   4.24015  20.31888   2.44846
  118   128.1233    .198742   5.21024   2.49677   6.37123   4.24427  20.31890   2.44845
  119   128.2041    .198867   5.23367   2.46619   6.37809   4.24840  20.31892   2.44843
  120   128.2812    .198987   5.25946   2.43553   6.38495   4.25254  20.31894   2.44841
  121   128.3425    .199082   5.28775   2.40478   6.39180   4.25670  20.31896   2.44840
  122   128.4678    .199276   5.31880   2.37394   6.39864   4.26088  20.31898   2.44838
  123   128.5412    .199390   5.35284   2.34301   6.40546   4.26508  20.31900   2.44837
  124   128.5901    .199466   5.39022   2.31196   6.41227   4.26930  20.31902   2.44835
  125   128.7037    .199642   5.43120   2.28079   6.41907   4.27355  20.31904   2.44834
  126   128.7711    .199747   5.47603   2.24949   6.42584   4.27782  20.31906   2.44832
  127   128.8692    .199899   5.52445   2.21804   6.43259   4.28213  20.31909   2.44831
  128   128.9808    .200072   5.57496   2.18645   6.43932   4.28646  20.31911   2.44829
  129   129.0567    .200190   5.62652   2.15470   6.44603   4.29083  20.31913   2.44828
  130   129.1542    .200341   5.67911   2.12279   6.45271   4.29524  20.31915   2.44826
  131   129.2692    .200519   5.73263   2.09072   6.45936   4.29968  20.31917   2.44825
  132   129.3643    .200667   5.78699   2.05849   6.46598   4.30417  20.31919   2.44823
  133   129.4333    .200774   5.84223   2.02610   6.47258   4.30869  20.31922   2.44822
  134   129.5378    .200936   5.89814   1.99354   6.47914   4.31325  20.31924   2.44820
  135   129.6456    .201103   5.95460   1.96082   6.48566   4.31785  20.31926   2.44819
  136   129.7303    .201234   6.01152   1.92793   6.49216   4.32250  20.31929   2.44817
  137   129.8498    .201420   6.06865   1.89488   6.49862   4.32720  20.31931   2.44816
  138   129.9553    .201583   6.12590   1.86166   6.50504   4.33194  20.31933   2.44815
  139   130.0366    .201709   6.18297   1.82827   6.51142   4.33673  20.31935   2.44813
  140   130.1247    .201846   6.23964   1.79473   6.51776   4.34156  20.31938   2.44812
  141   130.2355    .202018   6.29563   1.76101   6.52407   4.34644  20.31940   2.44810
  142   130.3544    .202202   6.35063   1.72715   6.53033   4.35137  20.31943   2.44809
  143   130.4558    .202360   6.40425   1.69312   6.53655   4.35635  20.31945   2.44808
  144   130.5397    .202490   6.45602   1.65895   6.54273   4.36138  20.31947   2.44807
  145   130.6240    .202621   6.50561   1.62464   6.54887   4.36645  20.31950   2.44805
  146   130.7163    .202764   6.55252   1.59019   6.55497   4.37156  20.31952   2.44804
  147   130.7954    .202887   6.59609   1.55561   6.56103   4.37672  20.31955   2.44803
