  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1206
  ntimesa = 1206
  detb = 30.6261662733299254
 Z layer 1 =  20.2474

 Z layer 2 =  17.8206

 Z layer 3 =  15.3822

 Z layer 4 =  13.0000

 Z12 =   2.4269

 Z23 =   2.4383

 Z34 =   2.3822

 temp, average ekin =   254.551263      .394854
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
  153   142.1676    .220527   6.57345   1.37173   6.30492   1.41379  20.23013   2.42886
  154   142.3308    .220780   6.61775   1.33702   6.31190   1.41683  20.23014   2.42887
  155   142.4901    .221027   6.66005   1.30219   6.31889   1.41983  20.23014   2.42889
  156   142.6052    .221206   6.70006   1.26724   6.32588   1.42281  20.23015   2.42891
  157   142.7044    .221359   6.73749   1.23219   6.33289   1.42577  20.23015   2.42892
  158   142.8508    .221587   6.77209   1.19704   6.33989   1.42871  20.23016   2.42894
  159   143.0261    .221858   6.80356   1.16180   6.34691   1.43164  20.23017   2.42896
  160   143.1104    .221989   6.83160   1.12648   6.35393   1.43456  20.23017   2.42898
  161   143.2245    .222166   6.85593   1.09109   6.36096   1.43748  20.23018   2.42900
  162   143.3750    .222400   6.87623   1.05564   6.36800   1.44039  20.23019   2.42901
  163   143.4734    .222552   6.89233   1.02014   6.37504   1.44330  20.23019   2.42903
  164   143.5949    .222741   6.90394    .98461   6.38209   1.44623  20.23020   2.42905
  165   143.7019    .222907   6.91082    .94906   6.38915   1.44917  20.23021   2.42907
  166   143.8116    .223077   6.91280    .91349   6.39622   1.45213  20.23021   2.42909
  167   143.9102    .223230   6.90979    .87793   6.40328   1.45511  20.23022   2.42910
  168   144.0168    .223395   6.90160    .84239   6.41036   1.45813  20.23023   2.42912
  169   144.1150    .223548   6.88811    .80688   6.41743   1.46118  20.23023   2.42914
  170   144.2089    .223693   6.86945    .77142   6.42450   1.46427  20.23024   2.42916
  171   144.2603    .223773   6.84551    .73602   6.43157   1.46741  20.23025   2.42918
  172   144.3596    .223927   6.81642    .70069   6.43863   1.47061  20.23026   2.42920
  173   144.4862    .224123   6.78231    .66545   6.44568   1.47385  20.23026   2.42922
  174   144.5328    .224196   6.74324    .63032   6.45271   1.47716  20.23027   2.42923
  175   144.6181    .224328   6.69946    .59530   6.45972   1.48053  20.23028   2.42925
  176   144.6651    .224401   6.65118    .56040   6.46670   1.48395  20.23028   2.42927
  177   144.7605    .224549   6.59876    .52564   6.47364   1.48744  20.23029   2.42929
  178   144.8423    .224676   6.54247    .49103   6.48053   1.49098  20.23030   2.42931
  179   144.8670    .224714   6.48260    .45657   6.48737   1.49458  20.23030   2.42933
  180   144.9195    .224795   6.41965    .42228   6.49414   1.49822  20.23031   2.42934
  181   144.9721    .224877   6.35400    .38815   6.50083   1.50189  20.23031   2.42936
  182   145.0397    .224982   6.28608    .35420   6.50742   1.50560  20.23032   2.42938
  183   145.1130    .225096   6.21644    .32042   6.51390   1.50931  20.23033   2.42940
  184   145.1434    .225143   6.14557    .28681   6.52025   1.51302  20.23033   2.42941
  185   145.2019    .225234   6.07418    .25338   6.52646   1.51672  20.23034   2.42943
  186   145.2545    .225315   6.00290    .22012   6.53250   1.52037  20.23034   2.42945
  187   145.2760    .225348   5.93232    .18703   6.53836   1.52397  20.23035   2.42947
  188   145.3290    .225431   5.86325    .15410   6.54401   1.52748  20.23035   2.42948
  189   145.4136    .225562   5.79656    .12131   6.54944   1.53089  20.23036   2.42950
  190   145.4744    .225656   5.73306    .08866   6.55463   1.53418  20.23037   2.42952
  191   145.5147    .225719   5.67354    .05614   6.55955   1.53731  20.23037   2.42954
  192   145.5843    .225827   5.61894    .02373   6.56419   1.54028  20.23038   2.42955
  193   145.6513    .225931   5.57001   -.00858   6.56854   1.54304  20.23038   2.42957
  194   145.7360    .226062   5.52751   -.04082   6.57257   1.54560  20.23039   2.42959
  195   145.8465    .226233   5.49225   -.07300   6.57627   1.54792  20.23039   2.42961
  196   145.9388    .226377   5.46472   -.10513   6.57964   1.54999  20.23040   2.42962
  197   146.0254    .226511   5.44533   -.13725   6.58266   1.55180  20.23040   2.42964
  198   146.1631    .226725   5.43437   -.16937   6.58532   1.55333  20.23041   2.42966
  199   146.2478    .226856   5.43192   -.20151   6.58764   1.55459  20.23041   2.42968
  200   146.3599    .227030   5.43789   -.23369   6.58960   1.55556  20.23042   2.42970
  201   146.5376    .227305   5.45192   -.26592   6.59121   1.55625  20.23042   2.42972
  202   146.6745    .227518   5.47346   -.29823   6.59248   1.55665  20.23043   2.42973
  203   146.8096    .227727   5.50192   -.33062   6.59341   1.55678  20.23044   2.42975
  204   146.9639    .227967   5.53645   -.36312   6.59401   1.55665  20.23044   2.42977
  205   147.1325    .228228   5.57610   -.39573   6.59431   1.55625  20.23045   2.42979
  206   147.3018    .228491   5.61983   -.42845   6.59431   1.55562  20.23046   2.42981
  207   147.4424    .228709   5.66660   -.46131   6.59404   1.55475  20.23047   2.42984
  208   147.6131    .228974   5.71538   -.49429   6.59350   1.55367  20.23047   2.42986
  209   147.8045    .229271   5.76510   -.52741   6.59273   1.55240  20.23048   2.42988
  210   147.9523    .229500   5.81480   -.56066   6.59173   1.55095  20.23049   2.42990
  211   148.1351    .229783   5.86352   -.59403   6.59054   1.54934  20.23050   2.42992
  212   148.2806    .230009   5.91054   -.62753   6.58916   1.54758  20.23051   2.42995
  213   148.4035    .230200   5.95516   -.66115   6.58761   1.54569  20.23052   2.42997
  214   148.5848    .230481   5.99681   -.69487   6.58592   1.54370  20.23053   2.42999
  215   148.7357    .230715   6.03505   -.72870   6.58410   1.54160  20.23054   2.43002
  216   148.8845    .230946   6.06962   -.76262   6.58217   1.53943  20.23055   2.43004
  217   149.0725    .231238   6.10037   -.79662   6.58014   1.53718  20.23056   2.43007
  218   149.2269    .231477   6.12714   -.83069   6.57802   1.53487  20.23057   2.43009
  219   149.3566    .231678   6.14993   -.86482   6.57583   1.53251  20.23058   2.43012
  220   149.5032    .231906   6.16892   -.89900   6.57358   1.53010  20.23059   2.43015
  221   149.6574    .232145   6.18435   -.93323   6.57128   1.52767  20.23060   2.43017
  222   149.8223    .232401   6.19630   -.96749   6.56893   1.52520  20.23062   2.43020
  223   149.9339    .232574   6.20510  -1.00177   6.56655   1.52271  20.23063   2.43023
  224   150.0765    .232795   6.21111  -1.03607   6.56414   1.52021  20.23064   2.43025
  225   150.2584    .233077   6.21455  -1.07038   6.56171   1.51769  20.23065   2.43028
  226   150.3694    .233249   6.21562  -1.10470   6.55926   1.51516  20.23067   2.43031
  227   150.5295    .233498   6.21469  -1.13901   6.55679   1.51262  20.23068   2.43034
  228   150.6616    .233702   6.21197  -1.17332   6.55431   1.51008  20.23069   2.43037
  229   150.7823    .233890   6.20765  -1.20762   6.55181   1.50754  20.23070   2.43040
  230   150.9384    .234132   6.20189  -1.24190   6.54930   1.50500  20.23072   2.43042
  231   151.0592    .234319   6.19472  -1.27616   6.54678   1.50247  20.23073   2.43045
  232   151.2339    .234590   6.18617  -1.31040   6.54424   1.49995  20.23075   2.43048
  233   151.3732    .234806   6.17623  -1.34461   6.54168   1.49743  20.23076   2.43051
  234   151.4893    .234986   6.16486  -1.37880   6.53910   1.49493  20.23077   2.43055
  235   151.6508    .235237   6.15184  -1.41294   6.53648   1.49245  20.23079   2.43058
  236   151.8071    .235479   6.13706  -1.44705   6.53383   1.49000  20.23080   2.43061
  237   151.9531    .235706   6.12036  -1.48111   6.53113   1.48757  20.23082   2.43064
  238   152.0719    .235890   6.10142  -1.51512   6.52838   1.48518  20.23083   2.43067
  239   152.2384    .236148   6.08018  -1.54907   6.52555   1.48283  20.23085   2.43070
  240   152.3649    .236345   6.05650  -1.58296   6.52264   1.48054  20.23086   2.43073
  241   152.5290    .236599   6.03021  -1.61677   6.51964   1.47831  20.23088   2.43077
  242   152.6711    .236820   6.00125  -1.65049   6.51652   1.47614  20.23089   2.43080
  243   152.7590    .236956   5.96954  -1.68413   6.51326   1.47406  20.23091   2.43083
  244   152.9398    .237236   5.93529  -1.71765   6.50986   1.47208  20.23092   2.43087
  245   153.0848    .237461   5.89882  -1.75107   6.50628   1.47019  20.23094   2.43090
  246   153.2309    .237688   5.86040  -1.78436   6.50250   1.46843  20.23095   2.43094
  247   153.3451    .237865   5.82052  -1.81752   6.49850   1.46680  20.23097   2.43097
  248   153.4206    .237982   5.77975  -1.85054   6.49425   1.46532  20.23099   2.43101
  249   153.5646    .238205   5.73884  -1.88341   6.48973   1.46400  20.23100   2.43104
  250   153.6721    .238372   5.69861  -1.91612   6.48492   1.46285  20.23102   2.43108
  251   153.7568    .238504   5.65981  -1.94868   6.47979   1.46189  20.23104   2.43112
  252   153.8878    .238707   5.62345  -1.98107   6.47431   1.46114  20.23105   2.43115
  253   153.9463    .238798   5.59043  -2.01330   6.46846   1.46060  20.23107   2.43119
  254   153.9899    .238865   5.56156  -2.04537   6.46223   1.46028  20.23109   2.43123
  255   154.0847    .239012   5.53772  -2.07728   6.45560   1.46021  20.23111   2.43127
  256   154.1438    .239104   5.51953  -2.10904   6.44854   1.46037  20.23112   2.43131
  257   154.1853    .239168   5.50755  -2.14065   6.44105   1.46079  20.23114   2.43135
  258   154.2175    .239218   5.50215  -2.17211   6.43312   1.46146  20.23116   2.43139
